timestamp,open,high,low,close,volume,barcount
2024-05-16,524.79,526.43,523.47,523.62,343847,186038
2024-05-17,523.74,524.44,522.26,524.37,313000,166645
2024-05-20,524.49,526.47,524.09,524.97,231674,120483
2024-05-21,524.2,526.42,523.99,526.26,201176,105576
2024-05-22,525.57,526.28,522.54,524.75,280765,140856
2024-05-23,527.83,527.95,519.69,520.91,371741,180105
2024-05-24,522.79,525.18,521.82,524.36,249821,131481
2024-05-28,525.16,525.42,522.05,524.73,230530,117952
2024-05-29,520.66,522.25,520.33,521.05,273444,137310
2024-05-30,519.49,520.16,516.33,517.6,276478,145715
2024-05-31,518.59,522.43,513.39,522.31,511331,237444
2024-06-03,523.94,524.23,517.59,522.74,306817,158847
2024-06-04,521.41,524.07,519.92,523.32,250509,130951
2024-06-05,525.68,529.56,523.65,529.54,298383,167593
2024-06-06,529.85,530.28,527.57,529.53,212541,112657
2024-06-07,528.54,531.74,527.42,528.89,249195,128419
2024-06-10,528.08,530.85,527.46,530.52,245960,128655
2024-06-11,528.98,531.86,526.94,531.8,242570,127902
2024-06-12,536.42,538.9,535.12,536.17,376821,195888
2024-06-13,537.93,538.12,534.41,537.24,252926,126043
2024-06-14,535.69,537.6,534.67,537.57,241935,125686
2024-06-17,536.88,543.27,536.4,541.85,304788,160424
2024-06-18,541.91,543.36,541.48,543.23,215258,111374
2024-06-20,544.17,544.85,539.94,541.75,350164,190359
2024-06-21,540.95,542.16,539.54,541.02,285639,149301
2024-06-24,540.86,543.45,539.16,539.27,270000,142246
2024-06-25,540.51,541.71,538.97,541.34,211488,106790
2024-06-26,540.21,542.74,539.55,542.02,207566,118585
2024-06-27,541.88,543.46,541.12,542.87,207492,121073
2024-06-28,543.69,546.76,539.47,540.74,422238,227111
2024-07-01,542.14,542.39,539.05,541.85,250728,137836
2024-07-02,540.27,545.5,540.17,545.5,225272,118581
2024-07-03,545.17,548.3,545.14,547.93,181609,94427
2024-07-05,548.24,551.5,547.59,551.09,238567,121975
2024-07-08,551.89,552.7,550.64,551.73,194026,97735
2024-07-09,552.7,553.61,551.96,552.26,187520,99533
2024-07-10,553.49,558.08,553.21,557.73,238379,116848
2024-07-11,557.85,558.73,552.27,552.92,328847,164762
2024-07-12,554.06,560.06,553.6,556.41,338027,159195
2024-07-15,558.41,561.22,556.05,557.94,267934,136318
2024-07-16,559.27,561.54,558.5,561.24,232283,117820
2024-07-17,555.24,556.92,553.05,553.38,325308,163862
2024-07-18,554.91,555.94,546.91,549.12,382138,186433
2024-07-19,548.88,550.53,544.4,545.48,327805,162645
2024-07-22,549.46,551.72,547.49,551.1,263086,128831
2024-07-23,550.99,553.18,549.73,550.24,200075,95040
2024-07-24,545.36,545.66,536.83,537.77,416072,205837
2024-07-25,537.89,543.96,534.01,534.96,426196,223533
2024-07-26,538.85,543.69,538.02,540.96,354507,188982
2024-07-29,542.53,543.55,539.25,541.27,230215,122083
2024-07-30,542.72,543.84,535.06,538.53,296965,156374
2024-07-31,545.47,549.96,544.07,547.28,406749,204905
2024-08-01,549.03,551.32,535.98,539.53,503629,254127
2024-08-02,532.29,533.55,525.22,529.49,532290,288395
2024-08-05,508.37,520.23,507.0,514.07,889786,491062
2024-08-06,515.89,526.36,514.56,518.81,533287,273507
2024-08-07,525.15,528.19,514.73,515.34,475214,249016
2024-08-08,520.55,527.89,518.5,527.25,408083,227376
2024-08-09,526.42,531.09,525.18,529.58,298315,158243
2024-08-12,530.8,532.3,527.55,529.86,288234,154416
2024-08-13,533.16,538.81,532.85,538.57,289869,153538
2024-08-14,539.4,541.47,536.66,540.27,276310,141023
2024-08-15,545.98,549.82,545.37,549.53,388693,194757
2024-08-16,547.83,551.47,547.73,550.76,218063,111370
2024-08-19,551.19,556.03,550.32,556.03,249254,126170
2024-08-20,555.57,557.25,553.75,555.12,217071,115132
2024-08-21,556.17,558.51,554.42,557.03,249341,131239
2024-08-22,558.96,559.58,551.43,552.66,311293,162208
2024-08-23,555.95,559.49,553.72,558.53,334986,186418
2024-08-26,559.54,560.3,555.47,557.2,224856,121404
2024-08-27,555.91,558.46,554.75,557.97,201788,109461
2024-08-28,557.62,558.06,551.49,554.73,243699,128839
2024-08-29,556.72,560.07,553.61,554.78,262048,145475
2024-08-30,557.19,560.59,553.57,560.07,345488,172623
2024-09-03,556.88,557.22,545.99,548.55,379160,202443
2024-09-04,546.68,550.88,545.94,547.42,306882,158267
2024-09-05,547.36,550.26,543.6,546.09,295802,161139
2024-09-06,546.41,548.07,535.99,536.9,438348,236493
2024-09-09,541.16,544.2,539.21,542.91,255823,144266
2024-09-10,544.85,545.64,539.9,545.28,265178,135337
2024-09-11,545.19,551.81,536.5,550.87,468710,243445
2024-09-12,551.46,555.82,549.2,555.51,316219,172615
2024-09-13,556.11,559.43,555.87,558.41,244385,132392
2024-09-16,558.16,559.51,556.32,559.24,221890,114372
2024-09-17,561.46,562.95,557.2,559.47,286330,150892
2024-09-18,560.13,565.05,557.24,557.81,366219,209246
2024-09-19,567.36,569.22,564.44,567.33,392983,203990
2024-09-20,565.97,567.4,563.27,566.34,343517,171245
2024-09-23,567.43,568.43,566.19,567.76,197858,108629
2024-09-24,568.56,569.44,565.7,569.38,259136,131166
2024-09-25,569.25,569.97,567.0,568.13,238887,129959
2024-09-26,572.47,572.78,567.99,570.38,267032,148135
2024-09-27,571.46,572.29,568.51,569.55,235352,122666
2024-09-30,568.51,572.45,566.17,571.84,327278,172849
2024-10-01,571.47,571.54,564.1,566.71,497638,274761
2024-10-02,565.81,567.99,563.37,566.95,229905,127236
2024-10-03,565.51,567.9,563.59,565.92,269306,135786
2024-10-04,570.42,571.44,566.19,571.06,280999,146463
2024-10-07,569.38,570.04,564.73,565.9,287337,146144
2024-10-08,568.53,571.86,567.61,571.25,242584,128094
