timestamp,open,high,low,close,volume,barcount,upper_band,middle_band,lower_band,signal,position
2025-01-17 18:25:00,598.73,599.1,598.68,598.77,5212,2376,598.9580608281383,597.5255,596.0929391718616,0,0
2025-01-17 18:30:00,598.77,598.94,598.1,598.28,3466,1660,599.0038094929827,597.6125,596.2211905070172,0,0
2025-01-17 18:35:00,598.29,598.69,598.28,598.65,1900,1112,599.0478893641756,597.7305,596.4131106358244,0,0
2025-01-17 18:40:00,598.64,598.7,598.44,598.68,1909,854,599.1542744255443,597.8115,596.4687255744558,0,0
2025-01-17 18:45:00,598.68,598.78,598.32,598.58,1758,800,599.1908097862176,597.9025,596.6141902137824,0,0
2025-01-17 18:50:00,598.6,598.7,598.23,598.25,2192,1054,599.2046352368428,597.9570000000001,596.7093647631574,0,0
2025-01-17 18:55:00,598.26,598.48,598.12,598.3,1395,596,599.2134402701118,598.013,596.8125597298882,0,0
2025-01-17 19:00:00,598.28,598.3,597.82,598.1,2732,1333,599.1073978492726,598.0840000000001,597.0606021507275,0,0
2025-01-17 19:05:00,598.08,598.42,598.02,598.32,1287,659,599.033895662537,598.1515,597.2691043374631,0,0
2025-01-17 19:10:00,598.33,598.63,598.23,598.59,1100,526,599.003086131127,598.2205,597.437913868873,0,0
2025-01-17 19:15:00,598.6,598.76,598.51,598.72,1388,762,599.0230186615013,598.2795,597.5359813384987,0,0
2025-01-17 19:20:00,598.72,598.98,598.7,598.89,1606,788,599.0236225339645,598.3535,597.6833774660356,0,0
2025-01-17 19:25:00,598.9,599.04,598.85,598.98,1347,710,599.0594405449507,598.42,597.7805594550492,0,0
2025-01-17 19:30:00,599.0,599.08,598.91,598.91,1334,694,599.0949736836561,598.471,597.8470263163439,0,0
2025-01-17 19:35:00,598.91,599.1,598.63,599.06,1860,882,599.17439997442,598.516,597.8576000255799,0,0
2025-01-17 19:40:00,599.06,599.07,598.83,598.92,1850,862,599.1894033609501,598.5645,597.9395966390498,0,0
2025-01-17 19:45:00,598.94,599.06,598.86,599.0,1473,579,599.2266436777342,598.608,597.9893563222657,0,0
2025-01-17 19:50:00,599.01,599.07,598.78,598.91,1115,546,599.2437332740482,598.644,598.0442667259518,0,0
2025-01-17 19:55:00,598.91,598.96,598.53,598.87,2209,965,599.2504892468422,598.676,598.1015107531579,0,0
2025-01-17 20:00:00,598.89,598.9,598.56,598.84,1152,500,599.2595608278992,598.681,598.1024391721008,0,0
2025-01-17 20:05:00,598.83,599.11,598.8,598.98,1355,639,599.2843086582226,598.6915,598.0986913417775,0,0
2025-01-17 20:10:00,598.97,599.3,598.94,599.17,2080,879,599.332353833506,598.736,598.139646166494,0,0
2025-01-17 20:15:00,599.18,599.26,599.09,599.16,2081,996,599.3853513655641,598.7615,598.1376486344358,0,0
2025-01-17 20:20:00,599.17,599.36,599.17,599.2,2035,1022,599.4397471278511,598.7875,598.135252872149,0,0
2025-01-17 20:25:00,599.19,599.28,599.0,599.03,1740,860,599.4631542898245,598.81,598.1568457101754,0,0
2025-01-17 20:30:00,599.03,599.11,598.72,598.78,1633,832,599.434682334463,598.8365,598.238317665537,0,0
2025-01-17 20:35:00,598.79,599.11,598.74,599.05,1930,771,599.4225444855543,598.874,598.3254555144457,0,0
2025-01-17 20:40:00,599.05,599.06,598.52,598.63,1526,770,599.3298679565427,598.9005,598.4711320434573,0,0
2025-01-17 20:45:00,598.64,598.95,598.58,598.59,1116,592,599.2786137105145,598.914,598.5493862894855,0,0
2025-01-17 20:50:00,598.6,598.6,598.39,598.56,1845,889,599.2829264967226,598.9125,598.5420735032775,0,0
2025-01-17 20:55:00,598.54,598.59,598.17,598.59,1814,822,599.2947578058116,598.9060000000001,598.5172421941885,0,0
2025-01-17 21:00:00,598.55,598.72,598.5,598.57,2184,1024,599.3068553958545,598.89,598.4731446041454,0,0
2025-01-17 21:05:00,598.6,598.61,598.16,598.39,1807,888,599.3306388372771,598.8605,598.3903611627229,1,1
2025-01-17 21:10:00,598.4,598.58,598.24,598.52,2184,895,599.3342769052608,598.841,598.3477230947392,0,1
2025-01-17 21:15:00,598.52,598.61,598.08,598.08,1851,938,599.3793974714572,598.792,598.2046025285429,1,1
2025-01-17 21:20:00,598.08,598.76,598.08,598.72,1838,911,599.367027214842,598.7819999999999,598.1969727851579,0,1
2025-01-17 21:25:00,598.69,598.73,598.42,598.45,2091,955,599.3480255947131,598.7545,598.1609744052869,0,1
2025-01-17 21:30:00,598.48,598.55,598.31,598.53,2851,1155,599.3323857776656,598.7355,598.1386142223344,0,1
2025-01-17 21:35:00,598.51,598.71,598.48,598.5,1575,971,599.3192449230745,598.717,598.1147550769255,0,1
2025-01-17 21:40:00,598.5,598.61,598.32,598.48,1864,931,599.307255486488,598.699,598.0907445135119,0,1
2025-01-17 21:45:00,598.5,598.62,598.4,598.41,1059,551,599.2767299372703,598.6705,598.0642700627296,0,1
2025-01-17 21:50:00,598.41,598.48,598.14,598.2,1216,682,599.2150332377307,598.6220000000001,598.0289667622694,0,1
2025-01-17 21:55:00,598.19,598.34,598.02,598.24,1973,1084,599.1350744230664,598.576,598.0169255769337,0,1
2025-01-17 22:00:00,598.22,598.22,597.53,597.73,4043,1962,599.1012662754633,598.5024999999999,597.9037337245366,1,1
2025-01-17 22:05:00,597.73,598.17,597.55,598.16,3415,1438,599.0217339279669,598.4590000000001,597.8962660720332,0,1
2025-01-17 22:10:00,598.15,598.35,598.02,598.04,3491,1559,598.9931152524489,598.422,597.8508847475512,0,1
2025-01-17 22:15:00,598.04,598.34,597.97,598.31,3450,1468,598.8749194348384,598.385,597.8950805651616,0,1
2025-01-17 22:20:00,598.3,598.47,598.23,598.43,3569,1657,598.8518537235726,598.375,597.8981462764274,0,1
2025-01-17 22:25:00,598.44,598.44,598.03,598.1,4313,2178,598.8311782488818,598.3504999999999,597.869821751118,0,1
2025-01-17 22:30:00,598.1,598.54,598.06,598.5,5034,2275,598.82339804304,598.3475000000001,597.8716019569601,0,1
2025-01-17 22:35:00,598.51,598.59,598.39,598.45,4358,2343,598.8053701007025,598.3405,597.8756298992976,0,1
2025-01-17 22:40:00,598.44,598.49,598.13,598.29,4337,2300,598.7789680855286,598.3265,597.8740319144714,0,1
2025-01-17 22:45:00,598.3,598.5,598.17,598.24,6484,3148,598.7720086556636,598.3190000000001,597.8659913443365,0,1
2025-01-17 22:50:00,598.23,598.56,597.8,598.25,9364,4714,598.7492863402476,598.3055,597.8617136597525,0,1
2025-01-17 22:55:00,598.26,598.26,597.35,597.55,28843,12649,598.8298615262056,598.279,597.7281384737944,1,0
